rank,prev_rank,name,league,off,def,spi
1,2,Manchester City,Barclays Premier League,3.06,0.3,93.14
2,1,Liverpool,Barclays Premier League,2.92,0.28,92.58
3,3,FC Bayern München,German Bundesliga,3.19,0.41,92.51
4,5,Paris Saint-Germain,French Ligue 1,3.14,0.43,91.94
5,4,FC Barcelona,Spanish Primera Division,3.08,0.43,91.5
6,6,Juventus,Italy Serie A,2.5,0.29,89.55
7,8,Real Madrid,Spanish Primera Division,2.7,0.52,87.16
8,9,Atlético Madrid,Spanish Primera Division,2.17,0.28,86.55
9,7,Ajax,Dutch Eredivisie,3.15,0.86,85.74
10,11,Tottenham Hotspur,Barclays Premier League,2.47,0.49,85.37
11,10,Chelsea,Barclays Premier League,2.28,0.41,84.86
12,12,Napoli,Italy Serie A,2.3,0.51,83.19
13,13,Inter,Italy Serie A,2.23,0.5,82.55
14,15,Borussia Dortmund,German Bundesliga,2.39,0.59,82.42
15,14,Sevilla FC,Spanish Primera Division,2.33,0.58,81.97
16,17,Valencia CF,Spanish Primera Division,2.12,0.49,81.27
17,19,SD Eibar,Spanish Primera Division,2.12,0.52,80.45
18,22,Atalanta,Italy Serie A,2.41,0.73,79.83
19,20,Arsenal,Barclays Premier League,2.37,0.71,79.77
20,18,Manchester United,Barclays Premier League,2.34,0.7,79.53
21,16,PSV,Dutch Eredivisie,2.75,0.97,79.43
22,21,FC Salzburg,Austrian T-Mobile Bundesliga,2.65,0.95,78.54
23,25,Getafe CF,Spanish Primera Division,1.88,0.48,78.16
24,24,Real Sociedad,Spanish Primera Division,2.11,0.63,77.98
25,23,Roma,Italy Serie A,2.35,0.79,77.76
26,26,FC Porto,Portuguese Liga,2.17,0.7,77.29
27,27,Lazio,Italy Serie A,2.11,0.69,76.54
28,28,RB Leipzig,German Bundesliga,2.13,0.72,76.22
29,29,Real Betis,Spanish Primera Division,1.9,0.6,75.25
30,30,Leganes,Spanish Primera Division,1.79,0.54,75.19
31,31,BSC Young Boys,Swiss Raiffeisen Super League,2.64,1.13,75.13
32,35,Athletic Club de Bilbao,Spanish Primera Division,1.87,0.6,74.92
33,32,TSG 1899 Hoffenheim,German Bundesliga,2.43,1,74.54
34,34,Milan,Italy Serie A,1.91,0.64,74.4
35,38,Olympique Lyonnais,French Ligue 1,2.1,0.78,74.32
36,36,SL Benfica,Portuguese Liga,2.07,0.77,74.14
37,33,Eintracht Frankfurt,German Bundesliga,2.15,0.83,74.11
38,39,Shakhtar Donetsk,UEFA Europa League,2.19,0.88,73.5
39,41,PFC CSKA Moscow,Russian Premier Liga,1.73,0.58,72.98
40,43,Bayer 04 Leverkusen,German Bundesliga,2.17,0.9,72.86
41,46,PAOK,Greek Super League,1.93,0.73,72.62
42,45,FC Schalke 04,German Bundesliga,1.96,0.77,72.32
43,37,Deportivo Alavés,Spanish Primera Division,1.83,0.68,72.14
44,40,RCD Espanyol,Spanish Primera Division,1.92,0.75,71.99
45,44,Villarreal CF,Spanish Primera Division,2.03,0.84,71.88
46,42,Fiorentina,Italy Serie A,1.87,0.72,71.78
47,55,Crystal Palace,Barclays Premier League,1.84,0.72,71.31
48,49,Dynamo Kyiv,UEFA Europa League,2.03,0.86,71.22
49,48,RC Celta,Spanish Primera Division,2.08,0.91,71.09
50,50,FC Krasnodar,Russian Premier Liga,1.88,0.77,71
51,52,Everton,Barclays Premier League,1.93,0.8,70.97
52,51,Borussia Mönchengladbach,German Bundesliga,2.08,0.92,70.76
53,58,Genk,Belgian Jupiler League,2.09,0.96,69.96
54,53,Leicester City,Barclays Premier League,1.84,0.78,69.87
